1DT830, Examensarbete T2, Undergraduate Thesis T2, 15.0 hp
1DT831, Examensarbete T3, Undergraduate Thesis T3, 30.0 hp
1DT087, Examensarbete i inbyggda system, Degree Project in Embedded Systems, 15.0 hp
1DT068, Examensarbete i inbyggda system, Degree Project in Embedded Systems, 30.0 hp
1DT960, Examensarbete i informationsteknologi, Degree Project in Computer and Information Engineering, 30.0 hp
1IT962, Examensarbete med entreprenörsinriktning, Degree Project, 30.0 hp
1TD188, Finansiella beräkningsmetoder - kalibrering och parameterskattning, Computational Finance: Calibration and Estimation, 5.0 hp
1TD186, Finansiella beräkningsmetoder - prissättning och värdering, Computational Finance: Pricing and Valuation, 5.0 hp
1TT411, Finita elementmetoder, Finite Element Methods, 6.0 hp
1TD253, Finita elementmetoder, Finite Element Methods, 5.0 hp
1TD254, Finita elementmetoder II, Finite Element Methods II, 5.0 hp
1TD251, Finita elementmetoder MN1, Finite Element Methods MN1, 7.5 hp
1TD252, Finita elementmetoder NV1, Finite Element Methods NV1, 7.5 hp
1TD245, Forskningspraktik i beräkningsvetenskap, Research Training in Scientific Computing, 5.0 hp
1DL000, Från domäner till krav, From Domains to Requirements, 7.5 hp
1DL027, Funktionell programmering, Functional Programming, 7.5 hp
1DL330, Funktionell programmering I, Functional Programming I, 5.0 hp
2AD200, Funktionell programmering MN1, Functional Programming MN1, 7.5 hp
1DL580, Fördjupningskurs i concurrency och parallellprogrammering, Project in Concurrent and Parallel Programming, 15.0 hp
1MB021, Grundläggande datoranvändning, Introduction to Computers, 3.0 hp
1MD111, Grundläggande människa-datorinteraktion MN1, Introduction to Human Computer Interaction MN1, 7.5 hp
1MD007, Grundläggande människa-datorinteraktion MN1, Introduction to Human-Computer Interaction MN1, 7.5 hp
1TS040, Grundläggande programmering, Introductory Programming, 7.5 hp
1MD002, Gränssnittsprogrammering I, User Interface Programming I, 5.0 hp
1MD003, Gränssnittsprogrammering II, User Interface Programming II, 5.0 hp
1MD031, Gränssnittsprogrammering med ett användarperspektiv, Interface Programming with a User Perspective, 5.0 hp
1MD029, Gränssnittsprogrammering med ett systemperspektiv, Interface Programming with a Systems Perspective, 5.0 hp
1DT037, Hälsoinformatik, Health Informatics, 7.5 hp
1DT069, Hälsoinformatik I, Health Informatics I, 7.5 hp
1DT070, Hälsoinformatik II, Health Informatics II, 7.5 hp
1TT476, Högprestandaberäkningar med Fortran, High Performance Computing with Fortran, 6.0 hp
